algoritmo utilizado,numero a buscar,tamano de n,tiempo real,encontrado
1,10393545,7000000,2.5415420532e-04,1
1,14700764,7000000,3.6722898483e-02,-1
1,187645041,7000000,3.6550998688e-02,-1
1,450057883,7000000,3.6548852921e-02,-1
1,1295390003,7000000,3.1524896622e-02,1
1,1360839354,7000000,3.6560058594e-02,-1
1,1493283650,7000000,3.6318063736e-02,1
1,1843349527,7000000,3.6543130875e-02,-1
1,1980098116,7000000,3.6558866501e-02,-1
1,2109248666,7000000,3.6626815796e-02,-1
1,2147445644,7000000,3.6570072174e-02,-1
1,2147470852,7000000,3.6526918411e-02,-1
 , ,promedio,=sum(D338:D357)/count(D338:D357), 
1,0,8000000,2.1457672119e-06,1
1,5000,8000000,4.1848897934e-02,-1
1,61396,8000000,4.1798114777e-02,-1
1,152503,8000000,4.1896820068e-02,-1
1,214826,8000000,4.1798830032e-02,-1
1,322486,8000000,1.0967254639e-05,1
1,3128036,8000000,7.8916549683e-05,1
1,6337399,8000000,1.5592575073e-04,1
1,10393545,8000000,2.5510787964e-04,1
1,14700764,8000000,4.1749000549e-02,-1
1,187645041,8000000,4.1776895523e-02,-1
1,450057883,8000000,4.1805028915e-02,-1
1,1295390003,8000000,3.1461000443e-02,1
1,1360839354,8000000,4.1826963425e-02,-1
1,1493283650,8000000,3.6283969879e-02,1
1,1843349527,8000000,4.1800975800e-02,-1
1,1980098116,8000000,4.1821956635e-02,-1
1,2109248666,8000000,4.1844844818e-02,-1
1,2147445644,8000000,4.1866064072e-02,-1
1,2147470852,8000000,4.1769027710e-02,-1
 , ,promedio,=sum(D359:D378)/count(D359:D378), 
1,0,9000000,1.9073486328e-06,1
1,5000,9000000,4.6998023987e-02,-1
1,61396,9000000,4.7003984451e-02,-1
1,152503,9000000,4.6966075897e-02,-1
1,214826,9000000,4.7037839890e-02,-1
1,322486,9000000,1.2159347534e-05,1
1,3128036,9000000,7.8916549683e-05,1
1,6337399,9000000,1.5711784363e-04,1
1,10393545,9000000,2.5391578674e-04,1
